loss,lr,acc
0.09385732561349869,1.0000641573994864e-05,0.5
0.11766937375068665,1.0001283147989736e-05,0.125
0.10431630909442902,1.0001924721984606e-05,0.25
0.12169763445854187,1.000256629597947e-05,0.125
0.10539324581623077,1.0003207869974333e-05,0.3125
0.11954760551452637,1.0003849443969205e-05,0.125
0.09532498568296432,1.0004491017964076e-05,0.25
0.08008509129285812,1.0005132591958939e-05,0.4375
0.0936107188463211,1.0005774165953802e-05,0.1875
0.09362311661243439,1.0006415739948674e-05,0.25
0.0712733194231987,1.0007057313943545e-05,0.4375
0.11413203179836273,1.0007698887938408e-05,0.3125
0.08856616914272308,1.0008340461933273e-05,0.4375
0.11308422684669495,1.0008982035928144e-05,0.4375
0.14510133862495422,1.0009623609923014e-05,0.4375
0.11776942014694214,1.0010265183917877e-05,0.25
0.11062619090080261,1.0010906757912749e-05,0.25
0.10889337956905365,1.001154833190762e-05,0.375
0.11137250810861588,1.0012189905902483e-05,0.0625
0.06656870990991592,1.0012831479897346e-05,0.5625
0.10845869779586792,1.0013473053892218e-05,0.0
0.08554086834192276,1.0014114627887088e-05,0.4375
0.08180534839630127,1.0014756201881952e-05,0.375
0.0962059274315834,1.0015397775876815e-05,0.3125
0.09837867319583893,1.0016039349871687e-05,0.25
0.08059269189834595,1.0016680923866558e-05,0.4375
0.09734915941953659,1.0017322497861421e-05,0.3125
0.10952123999595642,1.0017964071856286e-05,0.25
0.09256406128406525,1.0018605645851156e-05,0.3125
0.08734927326440811,1.0019247219846027e-05,0.5
0.10588285326957703,1.001988879384089e-05,0.125
0.09291341155767441,1.0020530367835755e-05,0.4375
0.10043381154537201,1.0021171941830626e-05,0.3125
0.09072224050760269,1.0021813515825496e-05,0.3125
0.1027911826968193,1.002245508982036e-05,0.25
0.09249616414308548,1.0023096663815224e-05,0.3125
0.09983520209789276,1.0023738237810095e-05,0.25
0.11556316167116165,1.0024379811804965e-05,0.125
0.08010124415159225,1.0025021385799828e-05,0.375
0.061101771891117096,1.0025662959794694e-05,0.5
0.1220574676990509,1.0026304533789564e-05,0.25
0.10961145907640457,1.0026946107784434e-05,0.125
0.08361130207777023,1.0027587681779299e-05,0.375
0.08962468057870865,1.0028229255774163e-05,0.25
0.09796614944934845,1.0028870829769033e-05,0.375
0.09800193458795547,1.0029512403763903e-05,0.25
0.08803700655698776,1.0030153977758768e-05,0.3125
0.10211965441703796,1.0030795551753632e-05,0.25
0.11688525229692459,1.0031437125748509e-05,0.125
0.09562084823846817,1.0032078699743372e-05,0.1875
0.07285139709711075,1.0032720273738237e-05,0.3125
0.09847404062747955,1.0033361847733108e-05,0.1875
0.13636514544487,1.0034003421727978e-05,0.375
0.11725421249866486,1.0034644995722841e-05,0.1875
0.10350872576236725,1.0035286569717706e-05,0.25
0.08622374385595322,1.0035928143712577e-05,0.4375
0.10454381257295609,1.0036569717707447e-05,0.1875
0.08786498755216599,1.0037211291702312e-05,0.25
0.10417346656322479,1.0037852865697176e-05,0.1875
0.08281481266021729,1.0038494439692046e-05,0.375
0.12642791867256165,1.0039136013686916e-05,0.0
0.07089944928884506,1.0039777587681781e-05,0.5
0.13976377248764038,1.0040419161676645e-05,0.125
0.0858062356710434,1.0041060735671515e-05,0.125
0.12006650865077972,1.0041702309666385e-05,0.1875
0.09645803272724152,1.004234388366125e-05,0.25
0.11269358545541763,1.0042985457656114e-05,0.1875
0.14131788909435272,1.0043627031650984e-05,0.125
0.1548309177160263,1.0044268605645854e-05,0.0625
0.11447048932313919,1.004491017964072e-05,0.3125
0.09379909932613373,1.0045551753635583e-05,0.3125
0.08335939794778824,1.0046193327630453e-05,0.4375
0.09650648385286331,1.0046834901625325e-05,0.4375
0.11760059744119644,1.0047476475620188e-05,0.125
0.12703172862529755,1.0048118049615052e-05,0.1875
0.10967674851417542,1.0048759623609922e-05,0.3125
0.1204812154173851,1.0049401197604794e-05,0.125
0.10876453667879105,1.0050042771599658e-05,0.3125
0.11031030118465424,1.0050684345594521e-05,0.375
0.12705343961715698,1.0051325919589391e-05,0.25
0.11862705647945404,1.0051967493584263e-05,0.25
0.07925590872764587,1.0052609067579127e-05,0.4375
0.08862274140119553,1.0053250641573997e-05,0.375
0.07285347580909729,1.0053892215568867e-05,0.375
0.10270517319440842,1.0054533789563732e-05,0.375
0.07907090336084366,1.0055175363558596e-05,0.3125
0.1051773950457573,1.0055816937553466e-05,0.3125
0.10993359982967377,1.0056458511548336e-05,0.4375
0.08881409466266632,1.0057100085543201e-05,0.3125
0.11596132814884186,1.0057741659538065e-05,0.1875
0.1102212443947792,1.0058383233532935e-05,0.1875
0.12200622260570526,1.0059024807527807e-05,0.1875
0.08845309168100357,1.005966638152267e-05,0.375
0.12020741403102875,1.0060307955517534e-05,0.375
0.11614901572465897,1.0060949529512404e-05,0.1875
0.1019907146692276,1.0061591103507276e-05,0.25
0.11128924041986465,1.006223267750214e-05,0.25
0.11692962795495987,1.0062874251497003e-05,0.3125
0.08441944420337677,1.0063515825491873e-05,0.375
0.12661384046077728,1.0064157399486745e-05,0.0625
0.11644250154495239,1.0064798973481609e-05,0.125
0.14999201893806458,1.0065440547476472e-05,0.25
0.11008622497320175,1.0066082121471344e-05,0.125
0.10295701771974564,1.0066723695466214e-05,0.25
0.09891825169324875,1.0067365269461078e-05,0.3125
0.11478700488805771,1.0068006843455941e-05,0.1875
0.08048522472381592,1.0068648417450813e-05,0.4375
0.12802480161190033,1.0069289991445683e-05,0.125
0.12480911612510681,1.0069931565440547e-05,0.0625
0.08514627814292908,1.007057313943541e-05,0.3125
0.10082239657640457,1.0071214713430282e-05,0.3125
0.08833165466785431,1.0071856287425153e-05,0.3125
0.08548463881015778,1.0072497861420016e-05,0.1875
0.13440465927124023,1.0073139435414881e-05,0.1875
0.08883436024188995,1.0073781009409758e-05,0.375
0.09181039780378342,1.0074422583404622e-05,0.4375
0.09238336980342865,1.0075064157399485e-05,0.375
0.07761435955762863,1.0075705731394357e-05,0.4375
0.08538127690553665,1.0076347305389227e-05,0.25
0.10821308940649033,1.007698887938409e-05,0.3125
0.1087484061717987,1.0077630453378954e-05,0.0625
0.11284314095973969,1.0078272027373826e-05,0.1875
0.09491298347711563,1.0078913601368696e-05,0.3125
0.08694282919168472,1.007955517536356e-05,0.3125
0.11922553926706314,1.0080196749358423e-05,0.125
0.09797891974449158,1.0080838323353295e-05,0.1875
0.13751588761806488,1.0081479897348165e-05,0.1875
0.09641364961862564,1.0082121471343029e-05,0.375
0.11989033967256546,1.0082763045337894e-05,0.1875
0.09673202782869339,1.0083404619332764e-05,0.375
0.09530065953731537,1.0084046193327635e-05,0.25
0.1423872411251068,1.0084687767322498e-05,0.3125
0.09577865898609161,1.0085329341317363e-05,0.3125
0.09153393656015396,1.0085970915312233e-05,0.3125
0.10845240950584412,1.0086612489307104e-05,0.25
0.08329527825117111,1.0087254063301967e-05,0.25
0.11047127097845078,1.0087895637296832e-05,0.125
0.10286162048578262,1.0088537211291703e-05,0.3125
0.1251678615808487,1.0089178785286573e-05,0.0625
0.08334042876958847,1.0089820359281436e-05,0.25
0.08681841194629669,1.0090461933276301e-05,0.375
0.11726230382919312,1.0091103507271172e-05,0.1875
0.07843516767024994,1.0091745081266042e-05,0.4375
0.10151633620262146,1.0092386655260907e-05,0.375
0.09091944992542267,1.009302822925577e-05,0.375
0.0974048599600792,1.009366980325064e-05,0.375
0.08192965388298035,1.0094311377245511e-05,0.3125
0.10260383039712906,1.0094952951240376e-05,0.1875
0.09266576170921326,1.0095594525235246e-05,0.1875
0.13214583694934845,1.0096236099230117e-05,0.125
0.09295891225337982,1.009687767322498e-05,0.25
0.0932970717549324,1.0097519247219845e-05,0.375
0.1163797676563263,1.0098160821214715e-05,0.1875
0.15500783920288086,1.0098802395209586e-05,0.125
0.09084811061620712,1.009944396920445e-05,0.375
0.10510225594043732,1.0100085543199314e-05,0.3125
0.07750402390956879,1.0100727117194185e-05,0.3125
0.07432852685451508,1.0101368691189055e-05,0.4375
0.09157014638185501,1.010201026518392e-05,0.25
0.09563753753900528,1.0102651839178783e-05,0.25
0.10015694051980972,1.0103293413173654e-05,0.3125
0.1254628449678421,1.0103934987168524e-05,0.1875
0.10880757123231888,1.0104576561163389e-05,0.125
0.09978409111499786,1.0105218135158253e-05,0.375
0.11724752187728882,1.0105859709153123e-05,0.0
0.07010181248188019,1.0106501283147993e-05,0.25
0.09698871523141861,1.0107142857142858e-05,0.125
0.10740171372890472,1.0107784431137722e-05,0.1875
0.11105913668870926,1.0108426005132592e-05,0.4375
0.0855652466416359,1.0109067579127462e-05,0.3125
0.10081472247838974,1.0109709153122327e-05,0.1875
0.09729856997728348,1.011035072711719e-05,0.3125
0.08984549343585968,1.0110992301112061e-05,0.375
0.11629833281040192,1.0111633875106933e-05,0.1875
0.07896020263433456,1.0112275449101796e-05,0.3125
0.08916603773832321,1.011291702309666e-05,0.375
0.09631916880607605,1.011355859709153e-05,0.25
0.09372352808713913,1.0114200171086402e-05,0.25
0.12293405085802078,1.0114841745081265e-05,0.125
0.10682608187198639,1.0115483319076136e-05,0.25
0.12264615297317505,1.0116124893071006e-05,0.125
0.11957577615976334,1.0116766467065871e-05,0.3125
0.08823581784963608,1.0117408041060735e-05,0.1875
0.1159687414765358,1.0118049615055605e-05,0.25
0.12140408903360367,1.0118691189050475e-05,0.25
0.12068470567464828,1.011933276304534e-05,0.0625
0.1046585738658905,1.0119974337040204e-05,0.1875
0.09776820987462997,1.0120615911035074e-05,0.125
0.08710496872663498,1.0121257485029946e-05,0.375
0.0994551032781601,1.012189905902481e-05,0.25
0.10222680866718292,1.0122540633019673e-05,0.1875
0.10452070832252502,1.0123182207014543e-05,0.4375
0.12467415630817413,1.0123823781009415e-05,0.1875
0.10644974559545517,1.0124465355004278e-05,0.1875
0.09222068637609482,1.0125106928999142e-05,0.125
0.09877897053956985,1.0125748502994012e-05,0.3125
0.07089447230100632,1.0126390076988884e-05,0.25
0.12496301531791687,1.0127031650983747e-05,0.25
0.09566181153059006,1.0127673224978611e-05,0.375
0.09010712057352066,1.0128314798973481e-05,0.25
0.07579179108142853,1.0128956372968353e-05,0.375
0.11614498496055603,1.0129597946963217e-05,0.25
0.0990753024816513,1.013023952095808e-05,0.3125
0.16326148808002472,1.0130881094952952e-05,0.125
0.11485103517770767,1.0131522668947822e-05,0.3125
0.1673862785100937,1.0132164242942686e-05,0.3125
0.09733143448829651,1.0132805816937549e-05,0.25
0.0722450241446495,1.0133447390932421e-05,0.5625
0.07954125851392746,1.0134088964927291e-05,0.375
0.10887829959392548,1.0134730538922155e-05,0.25
0.09954424202442169,1.0135372112917018e-05,0.375
0.09514815360307693,1.013601368691189e-05,0.25
0.09445081651210785,1.013665526090676e-05,0.5
0.1050361916422844,1.0137296834901624e-05,0.375
0.1001017615199089,1.0137938408896496e-05,0.25
0.11913389712572098,1.0138579982891366e-05,0.125
0.12441960722208023,1.013922155688623e-05,0.1875
0.11266335099935532,1.0139863130881093e-05,0.25
0.06756030023097992,1.0140504704875965e-05,0.5
0.1048177033662796,1.0141146278870835e-05,0.25
0.09373815357685089,1.0141787852865699e-05,0.25
0.10715118795633316,1.0142429426860562e-05,0.1875
0.08781876415014267,1.0143071000855434e-05,0.25
0.1126060038805008,1.0143712574850304e-05,0.125
0.12243323028087616,1.0144354148845168e-05,0.1875
